,tweet_id
638342,1343530913532153856
638343,1343526447588192256
638344,1343513116919914496
638345,1343510936712310784
638346,1343500785720696832
638347,1343496048233369600
638348,1343491899466936320
638349,1343490540390805504
638350,1343486224007385088
638351,1343453107049562112
638352,1343443794922975232
638353,1343439212348112896
638354,1343438251114291200
638355,1343432024124743680
638356,1343423748117057536
638357,1343423635827126272
638358,1343419448443641856
638359,1343418296612380672
638360,1343408618901708800
638361,1343404909744386048
638362,1343402320315392000
638363,1343394413855322112
638364,1343389975166021632
638365,1343386059900559360
638366,1343385853473730560
638367,1343384425208442880
638368,1343381390134554624
638369,1343372862246113280
638370,1343372493407436800
638371,1343368900998623232
638372,1343367511870337024
638373,1343351868592947200
638374,1343348699351506944
638375,1343347913464946688
638376,1343345074386644992
638377,1343340238287101952
638378,1343338610653876224
638379,1343330689324822528
638380,1343329533072732160
638381,1343327386494881792
638382,1343324026794598400
638383,1343323964597297152
638384,1343318118228258816
638385,1343317254801391616
638386,1343314728769077248
638387,1343308434364624896
638388,1343304489751625728
638389,1343300826199019520
638390,1343300048667422720
638391,1343297384466571264
638392,1343295731730419712
638393,1343295247632228352
638394,1343294492766588928
638395,1343289966671978496
638396,1343286904398163968
638397,1343279727621013504
638398,1343279346643918848
638399,1343275768323989504
638400,1343274720272261120
638401,1343272478823514112
638402,1343272008662978560
638403,1343271327810072576
638404,1343263211966132224
638405,1343262591624368128
638406,1343260101046652928
638407,1343259073458929664
638408,1343259072569647104
638409,1343257972466733056
638410,1343257949079273472
638411,1343257579737280512
638412,1343257325042364416
638413,1343254182610915328
638414,1343253282093989888
638415,1343244579164852224
638416,1343239068344315904
638417,1343237506829963264
638418,1343237495992037376
638419,1343233620765503488
638420,1343228569099636736
638421,1343223930799194112
638422,1343223766382362624
638423,1343221889745866752
638424,1343217738152464384
638425,1343213227979792384
638426,1343209667418189824
638427,1343195831034372096
638428,1343191066426667008
638429,1343185508621570048
638430,1343180684454748160
638431,1343173145692409856
638432,1343149966240440320
638433,1343133497775558656
638434,1343128120132587520
638435,1343123782639079424
638436,1343112676436631552
638437,1343111030654820352
638438,1343107670429978624
638439,1343107477160800256
638440,1343094822345854976
638441,1343093820838166528
638442,1343090707263844352
638443,1343086697232424960
638444,1343083169092755456
638445,1343067731441147904
638446,1343065429997203456
638447,1343058727234990080
638448,1343038583188324352
638449,1343035155359789056
638450,1343011742817906688
638451,1342995849564069888
638452,1342992313392369664
638453,1342989480060477440
638454,1342981939783983104
638455,1342977358127628288
638456,1342967700054749184
638457,1342966948519243776
638458,1342964742806245376
638459,1342959958225281024
638460,1342949766137831424
638461,1342946515229302784
638462,1342945583116513280
638463,1342944272740397056
638464,1342943132632100864
638465,1342941880980545536
638466,1342940672513495040
638467,1342939598515650560
638468,1342931630223192064
638469,1342926164982177792
638470,1342921860556541952
638471,1342915004287176704
638472,1342902265988796416
638473,1342901321159090176
638474,1342900532986347520
638475,1342899821741547520
638476,1342894906696585216
638477,1342892919775223808
638478,1342888363125313536
638479,1342886190052077568
638480,1342874894766387200
638481,1342873342165049344
638482,1342870763972472832
638483,1342869473406042112
638484,1342859353255272448
638485,1342854035641143296
638486,1342842651503030272
638487,1342837341073846272
638488,1342831678750818304
638489,1342820374275379200
638490,1342817268712005632
638491,1342811387458953216
638492,1342796407477039104
638493,1342795618473955328
638494,1342793631581827072
638495,1342768603767033856
638496,1342768320769007616
638497,1342763107442065408
638498,1342759663184523264
638499,1342746318159163392
638500,1342745992299483136
638501,1342735098165166080
638502,1342731020630589440
638503,1342724107973124096
638504,1342708864421146624
638505,1342706174689497088
638506,1342695791845109760
638507,1342689008535539712
638508,1342675541619580928
638509,1342671405666729984
638510,1342656261939228672
638511,1342649883044548608
638512,1342649484061396992
638513,1342642434606555136
638514,1342642368072142848
638515,1342639866295664640
638516,1342631912540692480
638517,1342622908468879360
638518,1342622858246291456
638519,1342618368310992896
638520,1342617390945865728
638521,1342616692317368320
638522,1342615235677585408
638523,1342610962914955264
638524,1342605389339254784
638525,1342600246854119424
638526,1342592203273678848
638527,1342589892807811072
638528,1342585603825618944
638529,1342580603884023808
638530,1342575604261130240
638531,1342569787768012800
638532,1342564824182448128
638533,1342559880972914688
638534,1342556600805040128
638535,1342547906889478144
638536,1342545804888829952
638537,1342541471191326720
638538,1342533514059649024
638539,1342530936064385024
638540,1342522948641558528
638541,1342517367251886080
638542,1342509422854066176
638543,1342507260367532032
638544,1342500539414814720
